reporting_date,portfolio,expected_losses
2018-05-31,mtg,0.0026383
2018-06-30,mtg,0.0027
2018-07-31,mtg,0.0026
2018-08-31,mtg,0.0025
2018-09-30,mtg,0.0025
2018-10-31,mtg,0.0023
2018-11-30,mtg,0.0022
2018-12-31,mtg,0.0023
2019-01-31,mtg,0.0023
2019-02-28,mtg,0.0023
2019-03-31,mtg,0.0022
2019-04-30,mtg,0.0021
2019-05-31,mtg,0.002
2019-06-30,mtg,0.0019
2019-07-31,mtg,0.0018
2019-08-31,mtg,0.0018
2019-09-30,mtg,0.0018
2019-10-31,mtg,0.0017
2019-11-30,mtg,0.0017
2019-12-31,mtg,0.0017
2020-01-31,mtg,0.0017
2020-02-29,mtg,0.0016
2020-03-31,mtg,0.0015
2020-04-30,mtg,0.0015
2020-05-31,mtg,0.0015
2020-06-30,mtg,0.0014
2020-07-31,mtg,0.0014
2020-08-31,mtg,0.0014
2003-02-28,auto,0.0135
2003-03-31,auto,0.0135
2003-04-30,auto,0.0075
2003-05-31,auto,0.0125
2003-06-30,auto,0.0075
2003-07-31,auto,0.0125
2003-08-31,auto,0.01
2003-09-30,auto,0.0078
2003-10-31,auto,0.0078
2003-11-30,auto,0.0104
2003-12-31,auto,0.0135
2004-01-31,auto,0.0084
2004-02-29,auto,0.0078
2004-03-31,auto,0.0125
2004-04-30,auto,0.0075
2004-05-31,auto,0.0072
2004-06-30,auto,0.0072
2004-07-31,auto,0.0096
2004-08-31,auto,0.0096
2004-09-30,auto,0.012
2004-10-31,auto,0.0072
2004-11-30,auto,0.01
2004-12-31,auto,0.0075
2005-01-31,auto,0.0078
2005-02-28,auto,0.013
2005-03-31,auto,0.0104
2005-04-30,auto,0.01
2005-05-31,auto,0.0075
2005-06-30,auto,0.012
2005-07-31,auto,0.0073794
2005-08-31,auto,0.0124391
2005-09-30,auto,0.0128103
2005-10-31,auto,0.0128245
2005-11-30,auto,0.0103597
2005-12-31,auto,0.0102058
2006-01-31,auto,0.0079505
2006-02-28,auto,0.0108959
2006-03-31,auto,0.0136525
2006-04-30,auto,0.0078858
2006-05-31,auto,0.008003
2006-06-30,auto,0.0107149
2006-07-31,auto,0.00809
2006-08-31,auto,0.011228
2006-09-30,auto,0.0144653
2006-10-31,auto,0.0088185
2006-11-30,auto,0.0092653
2006-12-31,auto,0.0132479
2007-01-31,auto,0.0179988
2007-02-28,auto,0.0188316
