Reporting_Date,Portfolio,Lender_Type,Insurance_Status,Dimension,Category,Total_Loan_Value_Originated
2015-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2015-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2015-03-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1186272000
2015-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2015-03-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,407201000
2015-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2015-03-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1022735000
2015-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2015-03-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2116415000
2015-03-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,2902106000
2015-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2015-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2015-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2015-03-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,64955000
