Reporting_Date,Portfolio,Lender_Type,Insurance_Status,Dimension,Category,Total_Loan_Value_Originated
2021-09-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1425599000
2021-09-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,3110882000
2021-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2021-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2021-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2021-09-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,66255000
2021-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2021-09-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,7534429000
2021-06-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,
2021-06-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,
2021-06-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,
2021-06-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,
2021-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2021-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2021-06-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,
2021-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2021-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2021-06-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,
2021-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2021-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2021-03-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,969851000
2021-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2021-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2021-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2021-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2021-03-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,38845000
2021-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2021-03-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2191375000
2021-03-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,191305000
2021-03-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1870282000
2021-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
